LOCATION_ZIPCODE,Clean Neighborhoods
2134,Allston
2163,Allston
2116,Back Bay
2199,Back Bay
2108,Beacon Hill / West End
2114,Beacon Hill / West End
2135,Brighton
2467,Brookline
2129,Charlestown
2122,Dorchester
2124,Dorchester
2125,Dorchester
2203,Downtown / Financial District / North End
2109,Downtown / Financial District / North End
2110,Downtown / Financial District / North End
2111,Downtown / Financial District / North End
2113,Downtown / Financial District / North End
2128,East Boston
2115,Fenway / Kenmore
2215,Fenway / Kenmore
2136,Hyde Park
2130,Jamaica Plain
2126,Mattapan
2120,Mission Hill
2131,Roslindale
2119,Roxbury
2121,Roxbury
2127,South Boston
2210,South Boston
2118,South End
2132,West Roxbury
